Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016;3WSV;Holz;Pellets;0.05;EnEv2016_3WSV_Holz_Pellets_0.05_Solarthermie;1330795.01;41910.98;-650385.09;40497.18;3544.23;13264.96;283.06;41.32;-61.34;0.001712247;1.18235E-07;-5745.516729
EnEv2016;3WSV;HF MW;Pellets;0.1;EnEv2016_3WSV_HFMW_Pellets_0.1_Solarthermie;1433858.99;45063.12;-458471.45;53760.32;3810.80;19853.00;318.76;44.42;-44.49;0.002155326;1.27128E-07;-5745.516772
EnEv2016;3WSV;HF MW;Pellets;0.05;EnEv2016_3WSV_HFMW_Pellets_0.05_Solarthermie;1433858.99;41910.98;-458471.45;53760.32;3544.23;19853.00;318.76;41.32;-44.49;0.002155326;1.18235E-07;-5745.516772
EnEv2016;FB;EPS;WP;0.1;EnEv2016_FB_EPS_WP_0.1_Solarthermie;3849536.29;276944.01;-1824239.55;229263.79;20951.17;-64911.09;1667.11;33.27;-469.06;19.25823723;3.78618E-05;-2616.317055
EnEv2016;FB;EPS;WP;0.05;EnEv2016_FB_EPS_WP_0.05_Solarthermie;3731040.77;259588.66;-1794428.94;225333.22;19638.22;-56075.71;1658.49;31.18;-454.70;19.25822858;3.54891E-05;-874.1743132
EnEv2016;FB;Holz;WP;0.1;EnEv2016_FB_Holz_WP_0.1_Solarthermie;3950969.15;276944.01;-2647960.51;180738.60;20951.17;-51285.81;1684.33;33.27;-521.25;19.25820571;3.78618E-05;-2616.318809
EnEv2016;FB;Holz;WP;0.05;EnEv2016_FB_Holz_WP_0.05_Solarthermie;3804923.62;259588.66;-2404741.50;192253.73;19638.22;-28066.91;1670.57;31.18;-476.87;19.25820564;3.54891E-05;-874.1742986
EnEv2016;FB;HF MW;WP;0.1;EnEv2016_FB_HFMW_WP_0.1_Solarthermie;3798177.93;276944.01;-1957947.73;220231.70;20951.17;-49885.94;1709.48;33.27;-466.65;19.25864876;3.78618E-05;-2616.31885
EnEv2016;FB;HF MW;WP;0.05;EnEv2016_FB_HFMW_WP_0.05_Solarthermie;3799443.16;259588.66;-1968501.37;220350.42;19638.22;-33996.43;1707.81;31.18;-453.14;19.25864874;3.54891E-05;-874.1743409
EnEv2016;2WSV;EPS;WP;0.1;EnEv2016_2WSV_EPS_WP_0.1_Solarthermie;4278131.27;267194.62;-1995920.91;243907.07;20213.62;-55612.58;1759.13;32.09;-475.84;19.25974469;3.6529E-05;-8361.832957
EnEv2016;2WSV;EPS;WP;0.05;EnEv2016_2WSV_EPS_WP_0.05_Solarthermie;4278131.27;249676.48;-1995920.91;243907.07;18888.35;-55612.58;1759.13;29.99;-475.84;19.25974469;3.4134E-05;-8361.832957
