Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
KfW70 Aufstockung;3WSV;HF Holz;Gas;0,1;KfW 70 As 3WSV_HF Holz_Gas_0.1;2631088,74;10393013,16;-2419924,43;-11676,19;629570,80;57545,38;451,26;280,64;-98,07;14,62;0,00;-10396,27
KfW 55 Aufstockung;3WSV;HF Holz;Gas;0,1;KfW 55 As 3WSV_HF Holz_Gas_0.1;2915242,76;8417164,56;-1835104,87;-34474,27;509881,10;63740,83;476,18;227,29;-124,45;14,62;0,00;-10396,27
EnEV'16 Solarthermie;FB;EPS;Pellets;0,1;EnEV'16_FB_EPS_Pellets_0.1_Solarthermie;531429,68;1670135,52;-195844,54;23662,69;141236,25;3926,59;88,14;1646,47;-28,31;0,000203357;4,71163E-06;-0,000825199
EnEV'16 Solarthermie;3WSV;EPS;Pellets;0,1;EnEV'16_3WSV_EPS_Pellets_0.1 Solarthermie;1303190,02;1351893,70;-401088,24;58696,69;114323,89;11626,89;271,73;1332,74;-42,80;0,001732177;3,81384E-06;-5745,516729
EnEV'16 Solarthermie;FB;EPS;WP;0,1;EnEV'16_FB_EPS_WP_0.1 Solarthermie;1219085,51;8308320,19;-502324,13;37731,00;628535,20;29339,91;188,64;997,97;-31,93;19,25818053;0,001135855;-2616,317015
EnEV'16 Solarthermie;3WSV;EPS;WP;0,1;EnEV'16_3WSV_EPS_WP_0.1 Solarthermie;1863109,65;7421108,15;-707567,83;67924,37;561416,46;37040,21;299,33;891,40;-38,91;19,25968807;0,001014561;-8361,832918
EnEV'16 Solarthermie;FB;EPS;Gas;0,1;EnEV'16_FB_EPS_Gas_0.1 Solarthermie;531429,68;16637026,31;-191292,66;23662,69;1007810,32;4550,30;88,14;449,25;-49,40;0,000203357;7,16407E-07;-0,00082523
EnEV'16 Solarthermie;3WSV;EPS;Gas;0,1;EnEV'16_3WSV_EPS_Gas_0.1 Solarthermie;1256991,23;14947225,60;-396536,36;56524,68;905448,36;12250,60;205,05;403,62;-33,07;0,00173082;6,43643E-07;-5745,516728
KfW70 Solarthermie;3WSV;EPS;Pellets;0,1;KfW70_3WSV_EPS_Pellets_0.1 Solarthermie;1683181,98;556820,58;-495533,17;71305,71;47087,94;17283,41;226,66;548,93;-41,06;0,001785003;1,57085E-06;-5745,51673
KfW70 Solarthermie;3WSV;EPS;WP;0,1;KfW70_3WSV_EPS_WP_0.1 Solarthermie;1996572,73;3731988,25;-680843,04;73428,11;282329,75;35700,02;285,98;448,27;-38,01;12,83661944;0,000510211;-7489,735382
KfW70 Solarthermie;3WSV;EPS;Gas;0,1;KfW70_3WSV_EPS_Gas_0.1 Solarthermie;1544587,92;6156492,10;-490981,29;48677,68;372937,82;17907,12;226,66;166,24;-41,06;0,001785003;2,65105E-07;-5745,51673
KfW 55 Solarthermie;3WSV;EPS;Pellets;0,1;KfW55_3WSV_EPS_Pellets_0.1 Solarthermie;2110168,98;422319,45;-602376,81;85471,35;35713,76;23682,53;226,66;416,34;-41,06;0,001785003;1,19141E-06;-5745,51673
KfW 55 Solarthermie;3WSV;EPS;WP;0,1;KfW55_3WSV_EPS_WP_0.1 Solarthermie;2423559,73;3393382,56;-787686,67;87593,75;256713,79;42099,14;317,03;407,60;-47,05;12,83664974;0,000463919;-7489,735384
KfW 55 Solarthermie;3WSV;EPS;Gas;0,1;KfW55_3WSV_EPS_Gas_0.1 Solarthermie;1869940,13;4669379,05;-597824,93;76674,11;282853,94;24306,24;226,66;126,09;-41,06;0,001785003;2,01068E-07;-5745,51673
